set,run,step,t_max,n,H_max,A,gamma,mu,S_N,omega_0,p_0,I,pi,total_pi,omega,p,H_D,S_S,S_P,S_hat,N,H_S,H_M,S_D,S_M,household,alpha,beta,H_N,H_O,H,H_W,m,S,S_C,income,U,expenditure
0,0,0,1000,2,400,3,1.2,10,300,10,1,0,0.0,0.0,10.0,1.0,0.0,2.0,0.0,4906.297919372802,0.0,0.0,0.0,1.0,0.0,0,0.2519719120464529,0.748028087953547,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,1000,2,400,3,1.2,10,300,10,1,0,0.0,0.0,10.0,1.0,0.0,2.0,0.0,4906.297919372802,0.0,0.0,0.0,1.0,0.0,1,0.6672117537638335,0.33278824623616654,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,1000,2,400,3,1.2,10,300,10,1,0,0.0,0.0,10.0,1.0,476.460846058168,4906.297919372804,4906.297919372802,4764.6084605816795,476.46084605816804,519.9020436501941,476.460846058168,4764.6084605816795,4764.6084605816795,0,0.2519719120464529,0.748028087953547,30.0,306.77039254281243,336.77039254281243,308.63103563072497,0.0,3086.3103563072495,3086.3103563072495,3086.3103563072495,1177.7280530123883,3086.3103563072495
0,0,1,1000,2,400,3,1.2,10,300,10,1,0,0.0,0.0,10.0,1.0,476.460846058168,4906.297919372804,4906.297919372802,4764.6084605816795,476.46084605816804,519.9020436501941,476.460846058168,4764.6084605816795,4764.6084605816795,1,0.6672117537638335,0.33278824623616654,30.0,153.13165110738163,183.13165110738163,167.82981042744305,0.0,1678.2981042744304,1678.2981042744304,1678.2981042744304,419.98171118896903,1678.2981042744304
0,0,2,1000,2,400,3,1.2,10,300,10,1,0,0.0,0.0,10.0,1.0,464.9664698542752,4764.6084605816795,4764.6084605816795,4649.664698542752,464.9664698542752,519.9020436501941,464.9664698542752,4649.664698542752,4649.664698542752,0,0.2519719120464529,0.748028087953547,30.0,306.77039254281243,336.77039254281243,301.1854684637987,0.0,3011.8546846379872,3011.8546846379872,3011.8546846379872,1177.1140036223076,3011.8546846379872
0,0,2,1000,2,400,3,1.2,10,300,10,1,0,0.0,0.0,10.0,1.0,464.9664698542752,4764.6084605816795,4764.6084605816795,4649.664698542752,464.9664698542752,519.9020436501941,464.9664698542752,4649.664698542752,4649.664698542752,1,0.6672117537638335,0.33278824623616654,30.0,153.13165110738163,183.13165110738163,163.7810013904765,0.0,1637.810013904765,1637.810013904765,1637.810013904765,420.6596629929283,1637.810013904765
0,0,3,1000,2,400,3,1.2,10,300,10,1,0,9.094947017729282e-13,9.094947017729282e-13,10.0,0.9999999999999998,455.5999322619652,4649.664698542752,4649.664698542752,4555.999322619653,455.59993226196525,519.9020436501941,455.5999322619652,4555.999322619653,4555.999322619653,0,0.2519719120464529,0.748028087953547,30.0,306.77039254281243,336.77039254281243,295.1182244891788,0.0,2951.182244891788,2951.182244891788,2951.182244891788,1174.866757157955,2951.182244891788
0,0,3,1000,2,400,3,1.2,10,300,10,1,0,9.094947017729282e-13,9.094947017729282e-13,10.0,0.9999999999999998,455.5999322619652,4649.664698542752,4649.664698542752,4555.999322619653,455.59993226196525,519.9020436501941,455.5999322619652,4555.999322619653,4555.999322619653,1,0.6672117537638335,0.33278824623616654,30.0,153.13165110738163,183.13165110738163,160.48170777278648,0.0,1604.8170777278647,1604.8170777278647,1604.8170777278647,421.0571397525703,1604.8170777278647
0,0,4,1000,2,400,3,1.2,10,300,10,1,0,0.0,9.094947017729282e-13,10.0,0.9999999999999998,447.9387806235057,4555.999322619652,4555.999322619653,4479.387806235058,447.93878062350564,519.9020436501941,447.9387806235057,4479.387806235058,4479.387806235058,0,0.2519719120464529,0.748028087953547,29.999999999999993,306.77039254281243,336.77039254281243,290.1556568745187,0.0,2901.556568745187,2901.556568745187,2901.5565687451867,1171.9499741925154,2901.5565687451867
0,0,4,1000,2,400,3,1.2,10,300,10,1,0,0.0,9.094947017729282e-13,10.0,0.9999999999999998,447.9387806235057,4555.999322619652,4555.999322619653,4479.387806235058,447.93878062350564,519.9020436501941,447.9387806235057,4479.387806235058,4479.387806235058,1,0.6672117537638335,0.33278824623616654,29.999999999999993,153.13165110738163,183.13165110738163,157.78312374898698,0.0,1577.8312374898703,1577.8312374898703,1577.8312374898699,421.27633797246955,1577.8312374898699
0,0,5,1000,2,400,3,1.2,10,300,10,1,0,0.0,9.094947017729282e-13,10.0,0.9999999999999998,441.6529889427645,4479.387806235059,4479.387806235058,4416.529889427647,441.6529889427645,519.9020436501941,441.6529889427645,4416.529889427647,4416.529889427647,0,0.2519719120464529,0.748028087953547,29.999999999999993,306.77039254281243,336.77039254281243,286.08398884085767,0.0,2860.8398884085773,2860.8398884085773,2860.839888408577,1168.8731582413222,2860.839888408577
